trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2023-01-03,000518.SZ,3.18,3.3,3.18,3.26,3.17,0.09,2.8391,110617.01,36031.76
2023-01-04,000518.SZ,3.25,3.27,3.21,3.24,3.26,-0.02,-0.6135,99461.1,32166.511
2023-01-05,000518.SZ,3.25,3.26,3.17,3.22,3.24,-0.02,-0.6173,98140.0,31440.854
2023-01-06,000518.SZ,3.21,3.22,3.13,3.14,3.22,-0.08,-2.4845,124173.94,39274.475
2023-01-09,000518.SZ,3.17,3.18,3.14,3.14,3.14,0.0,0.0,71869.0,22629.196
2023-01-10,000518.SZ,3.14,3.16,3.1,3.16,3.14,0.02,0.6369,72634.0,22758.534
2023-01-11,000518.SZ,3.16,3.16,3.1,3.1,3.16,-0.06,-1.8987,73766.01,23033.203
2023-01-12,000518.SZ,3.08,3.12,3.08,3.08,3.1,-0.02,-0.6452,64404.7,19933.275
2023-01-13,000518.SZ,3.08,3.11,3.08,3.11,3.08,0.03,0.974,52638.18,16306.842
2023-01-16,000518.SZ,3.1,3.16,3.1,3.15,3.11,0.04,1.2862,83835.91,26383.106
2023-01-17,000518.SZ,3.15,3.17,3.09,3.1,3.15,-0.05,-1.5873,71723.24,22322.696
2023-01-18,000518.SZ,3.1,3.12,3.09,3.11,3.1,0.01,0.3226,45888.01,14252.617
2023-01-19,000518.SZ,3.12,3.13,3.09,3.13,3.11,0.02,0.6431,61893.51,19267.052
2023-01-20,000518.SZ,3.13,3.17,3.12,3.17,3.13,0.04,1.278,89467.01,28177.715
2023-01-30,000518.SZ,3.18,3.2,3.17,3.18,3.17,0.01,0.3155,82432.4,26233.539
2023-01-31,000518.SZ,3.17,3.18,3.14,3.17,3.18,-0.01,-0.3145,74540.01,23513.664
2023-02-01,000518.SZ,3.16,3.2,3.15,3.19,3.17,0.02,0.6309,92862.01,29509.338
2023-02-02,000518.SZ,3.21,3.22,3.18,3.22,3.19,0.03,0.9404,96358.1,30934.622
2023-02-03,000518.SZ,3.21,3.22,3.14,3.17,3.22,-0.05,-1.5528,89098.23,28271.03
2023-02-06,000518.SZ,3.19,3.2,3.15,3.17,3.17,0.0,0.0,60336.01,19127.383
2023-02-07,000518.SZ,3.16,3.18,3.14,3.17,3.17,0.0,0.0,84446.01,26659.59
2023-02-08,000518.SZ,3.19,3.22,3.18,3.21,3.17,0.04,1.2618,129624.11,41577.153
2023-02-09,000518.SZ,3.21,3.22,3.17,3.19,3.21,-0.02,-0.6231,81421.6,25926.432
2023-02-10,000518.SZ,3.19,3.21,3.17,3.2,3.19,0.01,0.3135,74394.24,23756.36
2023-02-13,000518.SZ,3.2,3.23,3.19,3.22,3.2,0.02,0.625,86210.67,27711.27
